v1	I(D1)
0.000000000000000e+000	1.721062e-005
5.000000000000000e-002	2.609216e-005
1.000000000000000e-001	3.950363e-005
1.500000000000000e-001	5.970819e-005
2.000000000000000e-001	9.005147e-005
2.500000000000000e-001	1.354260e-004
3.000000000000000e-001	2.028755e-004
3.500000000000000e-001	3.023139e-004
4.000000000000000e-001	4.472513e-004
4.500000000000000e-001	6.552757e-004
4.999999999999999e-001	9.478785e-004
5.499999999999999e-001	1.349149e-003
6.000000000000000e-001	1.883125e-003
6.500000000000000e-001	2.570242e-003
7.000000000000001e-001	3.424048e-003
7.500000000000001e-001	4.449465e-003
8.000000000000002e-001	5.643131e-003
8.500000000000002e-001	6.995331e-003
9.000000000000002e-001	8.492504e-003
9.500000000000003e-001	1.011950e-002
1.000000000000000e+000	1.186121e-002
1.050000000000000e+000	1.370347e-002
1.100000000000000e+000	1.563356e-002
1.150000000000000e+000	1.764034e-002
1.200000000000000e+000	1.971416e-002
1.250000000000000e+000	2.184672e-002
1.300000000000001e+000	2.403094e-002
1.350000000000001e+000	2.626076e-002
1.400000000000001e+000	2.853101e-002
1.450000000000001e+000	3.083722e-002
1.500000000000001e+000	3.317557e-002
1.550000000000001e+000	3.554273e-002
1.600000000000001e+000	3.793584e-002
1.650000000000001e+000	4.035239e-002
1.700000000000001e+000	4.279016e-002
1.750000000000001e+000	4.524722e-002
1.800000000000001e+000	4.772187e-002
1.850000000000001e+000	5.021258e-002
1.900000000000001e+000	5.271800e-002
1.950000000000001e+000	5.523691e-002
2.000000000000001e+000	5.776821e-002
2.050000000000001e+000	6.031089e-002
2.100000000000001e+000	6.286402e-002
2.150000000000000e+000	6.542674e-002
2.200000000000000e+000	6.799824e-002
2.250000000000000e+000	7.057773e-002
2.300000000000000e+000	7.316443e-002
2.350000000000000e+000	7.575759e-002
2.400000000000000e+000	7.835639e-002
2.449999999999999e+000	8.096000e-002
2.499999999999999e+000	8.356747e-002
2.549999999999999e+000	8.617778e-002
2.599999999999999e+000	8.878972e-002
2.649999999999999e+000	9.140187e-002
2.699999999999998e+000	9.401254e-002
2.749999999999998e+000	9.661969e-002
2.799999999999998e+000	9.922081e-002
2.849999999999998e+000	1.018129e-001
2.899999999999998e+000	1.043921e-001
2.949999999999998e+000	1.069541e-001
2.999999999999997e+000	1.094933e-001
3.049999999999997e+000	1.120034e-001
3.099999999999997e+000	1.144770e-001
3.149999999999997e+000	1.169057e-001
3.199999999999997e+000	1.192803e-001
3.249999999999996e+000	1.215914e-001
3.299999999999996e+000	1.238293e-001
3.349999999999996e+000	1.259850e-001
3.399999999999996e+000	1.280507e-001
3.449999999999996e+000	1.300202e-001
3.499999999999996e+000	1.318894e-001
3.549999999999995e+000	1.336564e-001
3.599999999999995e+000	1.353215e-001
3.649999999999995e+000	1.368865e-001
3.699999999999995e+000	1.383550e-001
3.749999999999995e+000	1.397316e-001
3.799999999999995e+000	1.410216e-001
3.849999999999994e+000	1.422305e-001
3.899999999999994e+000	1.433640e-001
3.949999999999994e+000	1.444279e-001
3.999999999999994e+000	1.454276e-001
4.049999999999994e+000	1.463686e-001
4.099999999999993e+000	1.472556e-001
4.149999999999993e+000	1.480933e-001
4.199999999999993e+000	1.488857e-001
4.249999999999993e+000	1.496367e-001
4.299999999999993e+000	1.503496e-001
4.349999999999993e+000	1.510276e-001
4.399999999999992e+000	1.516735e-001
4.449999999999992e+000	1.522896e-001
4.499999999999992e+000	1.528784e-001
4.549999999999992e+000	1.534417e-001
4.599999999999992e+000	1.539816e-001
4.649999999999992e+000	1.544996e-001
4.699999999999991e+000	1.549972e-001
4.749999999999991e+000	1.554760e-001
4.799999999999991e+000	1.559370e-001
4.849999999999991e+000	1.563814e-001
4.899999999999991e+000	1.568104e-001
4.949999999999990e+000	1.572248e-001
5.000000000000000e+000	1.576255e-001
