v1	I(R3)
0.000000000000000e+000	6.838916e-007
5.000000000000000e-002	6.838947e-007
1.000000000000000e-001	6.838989e-007
1.500000000000000e-001	6.839070e-007
2.000000000000000e-001	6.839317e-007
2.500000000000000e-001	6.840283e-007
3.000000000000000e-001	6.844345e-007
3.500000000000000e-001	6.861758e-007
4.000000000000000e-001	6.936137e-007
4.500000000000000e-001	7.241904e-007
4.999999999999999e-001	8.358099e-007
5.499999999999999e-001	1.160619e-006
6.000000000000000e-001	1.933387e-006
6.500000000000000e-001	3.609023e-006
7.000000000000001e-001	7.142943e-006
7.500000000000001e-001	1.453444e-005
8.000000000000002e-001	2.997200e-005
8.500000000000002e-001	6.205723e-005
9.000000000000002e-001	1.282807e-004
9.500000000000003e-001	2.630585e-004
1.000000000000000e+000	5.300075e-004
1.050000000000000e+000	1.033588e-003
1.100000000000000e+000	1.915103e-003
1.150000000000000e+000	3.305753e-003
1.200000000000000e+000	5.270758e-003
1.250000000000000e+000	7.786934e-003
1.300000000000001e+000	1.076673e-002
1.350000000000001e+000	1.413809e-002
1.400000000000001e+000	1.780892e-002
1.450000000000001e+000	2.171228e-002
1.500000000000001e+000	2.579886e-002
1.550000000000001e+000	3.003144e-002
1.600000000000001e+000	3.438182e-002
1.650000000000001e+000	3.882835e-002
1.700000000000001e+000	4.335383e-002
1.750000000000001e+000	4.794316e-002
1.800000000000001e+000	5.257894e-002
1.850000000000001e+000	5.722883e-002
1.900000000000001e+000	6.180911e-002
1.950000000000001e+000	6.611048e-002
2.000000000000001e+000	6.979623e-002
2.050000000000001e+000	7.259887e-002
2.100000000000001e+000	7.471593e-002
2.150000000000000e+000	7.625581e-002
2.200000000000000e+000	7.743607e-002
2.250000000000000e+000	7.839343e-002
2.300000000000000e+000	7.919160e-002
2.350000000000000e+000	7.987078e-002
2.400000000000000e+000	8.045965e-002
2.449999999999999e+000	8.097825e-002
2.499999999999999e+000	8.144081e-002
2.549999999999999e+000	8.185777e-002
2.599999999999999e+000	8.223699e-002
2.649999999999999e+000	8.258452e-002
2.699999999999998e+000	8.290508e-002
2.749999999999998e+000	8.320245e-002
2.799999999999998e+000	8.347967e-002
2.849999999999998e+000	8.373924e-002
2.899999999999998e+000	8.398321e-002
2.949999999999998e+000	8.421332e-002
2.999999999999997e+000	8.443102e-002
3.049999999999997e+000	8.463757e-002
3.099999999999997e+000	8.483403e-002
3.149999999999997e+000	8.502132e-002
3.199999999999997e+000	8.520025e-002
3.249999999999996e+000	8.537152e-002
3.299999999999996e+000	8.553576e-002
3.349999999999996e+000	8.569351e-002
3.399999999999996e+000	8.584525e-002
3.449999999999996e+000	8.599142e-002
3.499999999999996e+000	8.613242e-002
3.549999999999995e+000	8.626859e-002
3.599999999999995e+000	8.640025e-002
3.649999999999995e+000	8.652768e-002
3.699999999999995e+000	8.665115e-002
3.749999999999995e+000	8.677089e-002
3.799999999999995e+000	8.688712e-002
3.849999999999994e+000	8.700004e-002
3.899999999999994e+000	8.710983e-002
3.949999999999994e+000	8.721666e-002
3.999999999999994e+000	8.732069e-002
4.049999999999994e+000	8.742204e-002
4.099999999999993e+000	8.752087e-002
4.149999999999993e+000	8.761728e-002
4.199999999999993e+000	8.771140e-002
4.249999999999993e+000	8.780333e-002
4.299999999999993e+000	8.789317e-002
4.349999999999993e+000	8.798102e-002
4.399999999999992e+000	8.806695e-002
4.449999999999992e+000	8.815106e-002
4.499999999999992e+000	8.823341e-002
4.549999999999992e+000	8.831408e-002
4.599999999999992e+000	8.839313e-002
4.649999999999992e+000	8.847063e-002
4.699999999999991e+000	8.854664e-002
4.749999999999991e+000	8.862122e-002
4.799999999999991e+000	8.869441e-002
4.849999999999991e+000	8.876627e-002
4.899999999999991e+000	8.883685e-002
4.949999999999990e+000	8.890618e-002
5.000000000000000e+000	8.897432e-002
