time	I(R3)
0.000000000000000e+000	4.968951e-004
9.999999717180685e-010	4.968951e-004
1.999999943436137e-009	4.968951e-004
9.668246107507261e-002	4.967173e-004
1.933649201501453e-001	4.965290e-004
2.900473792252180e-001	4.963304e-004
3.867298383002906e-001	4.961213e-004
4.834122973753633e-001	4.959018e-004
5.800947564504360e-001	4.956718e-004
6.767772155255084e-001	4.954315e-004
7.696343583826514e-001	4.951914e-004
8.624915012397943e-001	4.949348e-004
9.553486440969372e-001	4.946616e-004
1.048205786954080e+000	4.943717e-004
1.141062929811223e+000	4.940653e-004
1.233920072668366e+000	4.937423e-004
1.326777215525509e+000	4.934028e-004
1.405348644096938e+000	4.931069e-004
1.483920072668366e+000	4.927755e-004
1.562491501239795e+000	4.924086e-004
1.641062929811224e+000	4.920061e-004
1.719634358382652e+000	4.915682e-004
1.798205786954081e+000	4.910948e-004
1.876777215525509e+000	4.905858e-004
1.916777215525509e+000	4.903080e-004
1.956777215525509e+000	4.899876e-004
1.996777215525508e+000	4.896246e-004
2.036777215525508e+000	4.892190e-004
2.076777215525507e+000	4.887708e-004
2.116777215525507e+000	4.882800e-004
2.156777215525506e+000	4.877466e-004
2.175348644096935e+000	4.874757e-004
2.193920072668363e+000	4.871587e-004
2.212491501239791e+000	4.867954e-004
2.231062929811219e+000	4.863860e-004
2.249634358382647e+000	4.859303e-004
2.268205786954075e+000	4.854285e-004
2.286777215525504e+000	4.848804e-004
2.306777215525503e+000	4.841311e-004
2.326777215525503e+000	4.831855e-004
2.336777215525502e+000	4.826027e-004
2.346777215525502e+000	4.819122e-004
2.356777215525502e+000	4.810693e-004
2.366777215525502e+000	4.799964e-004
2.376777215525502e+000	4.785359e-004
2.386777215525501e+000	4.763505e-004
2.396777215525501e+000	4.727142e-004
2.406777215525501e+000	4.666800e-004
2.416777215525501e+000	4.581919e-004
2.426777215525501e+000	4.483915e-004
2.471062929811214e+000	4.040542e-004
2.515348644096927e+000	3.617809e-004
2.559634358382640e+000	3.215719e-004
2.603920072668354e+000	2.834270e-004
2.648205786954067e+000	2.473462e-004
2.692491501239781e+000	2.133297e-004
2.736777215525494e+000	1.813772e-004
2.773920072668350e+000	1.564662e-004
2.811062929811206e+000	1.335441e-004
2.848205786954063e+000	1.126107e-004
2.885348644096919e+000	9.366624e-005
2.922491501239776e+000	7.671056e-005
2.959634358382632e+000	6.174372e-005
2.996777215525488e+000	4.876571e-005
3.016777215525488e+000	4.270511e-005
3.036777215525488e+000	3.722490e-005
3.056777215525487e+000	3.230429e-005
3.076777215525487e+000	2.791718e-005
3.096777215525486e+000	2.403277e-005
3.116777215525486e+000	2.061643e-005
3.126777215525486e+000	1.907219e-005
3.136777215525485e+000	1.763079e-005
3.146777215525485e+000	1.628735e-005
3.156777215525485e+000	1.503693e-005
3.166777215525485e+000	1.387461e-005
3.176777215525485e+000	1.279554e-005
3.186777215525484e+000	1.179490e-005
3.196777215525484e+000	1.086802e-005
3.206777215525484e+000	1.001033e-005
3.216777215525484e+000	9.217407e-006
3.226777215525484e+000	8.484995e-006
3.236777215525483e+000	7.809012e-006
3.246777215525483e+000	7.185560e-006
3.256777215525483e+000	6.610929e-006
3.266777215525483e+000	6.081603e-006
3.276777215525482e+000	5.594264e-006
3.286777215525482e+000	5.145786e-006
3.296777215525482e+000	4.733235e-006
3.306777215525482e+000	4.353861e-006
3.316777215525482e+000	4.005098e-006
3.326777215525481e+000	3.684554e-006
3.336777215525481e+000	3.390001e-006
3.346777215525481e+000	3.119374e-006
3.356777215525481e+000	2.870758e-006
3.366777215525481e+000	2.642378e-006
3.376777215525480e+000	2.432595e-006
3.386777215525480e+000	2.239898e-006
3.396777215525480e+000	2.062890e-006
3.406777215525480e+000	1.900286e-006
3.416777215525479e+000	1.750903e-006
3.426777215525479e+000	1.613652e-006
3.436777215525479e+000	1.487533e-006
3.446777215525479e+000	1.371628e-006
