Freq.	V(2)/V(1)
Step Information: R=8  (Run: 1/3)
1.00000000000000e+001	(-1.91765414868005e+001dB,8.36863149026092e+001°)
1.00461579027840e+001	(-1.91370050398935e+001dB,8.36573930318301e+001°)
1.00925288607668e+001	(-1.90974728320132e+001dB,8.36283407062298e+001°)
1.01391138573668e+001	(-1.90579449014608e+001dB,8.35991573653167e+001°)
1.01859138805412e+001	(-1.90184212868753e+001dB,8.35698424465761e+001°)
1.02329299228075e+001	(-1.89789020272361e+001dB,8.35403953854689e+001°)
1.02801629812647e+001	(-1.89393871618656e+001dB,8.35108156154294e+001°)
1.03276140576140e+001	(-1.88998767304326e+001dB,8.34811025678640e+001°)
1.03752841581801e+001	(-1.88603707729545e+001dB,8.34512556721494e+001°)
1.04231742939330e+001	(-1.88208693298010e+001dB,8.34212743556312e+001°)
1.04712854805090e+001	(-1.87813724416961e+001dB,8.33911580436226e+001°)
1.05196187382322e+001	(-1.87418801497220e+001dB,8.33609061594029e+001°)
1.05681750921366e+001	(-1.87023924953212e+001dB,8.33305181242164e+001°)
1.06169555719873e+001	(-1.86629095203001e+001dB,8.32999933572718e+001°)
1.06659612123026e+001	(-1.86234312668319e+001dB,8.32693312757402e+001°)
1.07151930523761e+001	(-1.85839577774593e+001dB,8.32385312947552e+001°)
1.07646521362984e+001	(-1.85444890950978e+001dB,8.32075928274115e+001°)
1.08143395129794e+001	(-1.85050252630389e+001dB,8.31765152847648e+001°)
1.08642562361707e+001	(-1.84655663249529e+001dB,8.31452980758304e+001°)
1.09144033644876e+001	(-1.84261123248922e+001dB,8.31139406075835e+001°)
1.09647819614319e+001	(-1.83866633072945e+001dB,8.30824422849588e+001°)
1.10153930954142e+001	(-1.83472193169856e+001dB,8.30508025108496e+001°)
1.10662378397767e+001	(-1.83077803991832e+001dB,8.30190206861085e+001°)
1.11173172728159e+001	(-1.82683465994994e+001dB,8.29870962095470e+001°)
1.11686324778056e+001	(-1.82289179639445e+001dB,8.29550284779357e+001°)
1.12201845430197e+001	(-1.81894945389299e+001dB,8.29228168860044e+001°)
1.12719745617551e+001	(-1.81500763712715e+001dB,8.28904608264428e+001°)
1.13240036323556e+001	(-1.81106635081932e+001dB,8.28579596899007e+001°)
1.13762728582343e+001	(-1.80712559973296e+001dB,8.28253128649886e+001°)
1.14287833478977e+001	(-1.80318538867301e+001dB,8.27925197382789e+001°)
1.14815362149689e+001	(-1.79924572248618e+001dB,8.27595796943062e+001°)
1.15345325782109e+001	(-1.79530660606129e+001dB,8.27264921155687e+001°)
1.15877735615513e+001	(-1.79136804432962e+001dB,8.26932563825292e+001°)
1.16412602941049e+001	(-1.78743004226527e+001dB,8.26598718736163e+001°)
1.16949939101987e+001	(-1.78349260488548e+001dB,8.26263379652262e+001°)
1.17489755493953e+001	(-1.77955573725097e+001dB,8.25926540317239e+001°)
1.18032063565173e+001	(-1.77561944446633e+001dB,8.25588194454449e+001°)
1.18576874816716e+001	(-1.77168373168033e+001dB,8.25248335766976e+001°)
1.19124200802738e+001	(-1.76774860408630e+001dB,8.24906957937645e+001°)
1.19674053130725e+001	(-1.76381406692249e+001dB,8.24564054629051e+001°)
1.20226443461742e+001	(-1.75988012547239e+001dB,8.24219619483577e+001°)
1.20781383510678e+001	(-1.75594678506515e+001dB,8.23873646123422e+001°)
1.21338885046498e+001	(-1.75201405107589e+001dB,8.23526128150626e+001°)
1.21898959892487e+001	(-1.74808192892612e+001dB,8.23177059147099e+001°)
1.22461619926505e+001	(-1.74415042408405e+001dB,8.22826432674646e+001°)
1.23026877081239e+001	(-1.74021954206501e+001dB,8.22474242275007e+001°)
1.23594743344451e+001	(-1.73628928843180e+001dB,8.22120481469881e+001°)
1.24165230759242e+001	(-1.73235966879505e+001dB,8.21765143760965e+001°)
1.24738351424295e+001	(-1.72843068881365e+001dB,8.21408222629991e+001°)
1.25314117494142e+001	(-1.72450235419506e+001dB,8.21049711538762e+001°)
1.25892541179417e+001	(-1.72057467069578e+001dB,8.20689603929192e+001°)
1.26473634747116e+001	(-1.71664764412163e+001dB,8.20327893223350e+001°)
1.27057410520855e+001	(-1.71272128032823e+001dB,8.19964572823500e+001°)
1.27643880881135e+001	(-1.70879558522135e+001dB,8.19599636112148e+001°)
1.28233058265603e+001	(-1.70487056475729e+001dB,8.19233076452091e+001°)
1.28824955169314e+001	(-1.70094622494330e+001dB,8.18864887186464e+001°)
1.29419584144999e+001	(-1.69702257183797e+001dB,8.18495061638791e+001°)
1.30016957803330e+001	(-1.69309961155163e+001dB,8.18123593113040e+001°)
1.30617088813185e+001	(-1.68917735024673e+001dB,8.17750474893676e+001°)
