Freq.	V(2)
Step Information: C=0  (Run: 1/2)
2.00000000000000e+001	(-2.15836306836607e+001dB,-6.59999708079267e-002°)
2.04658598456151e+001	(-2.15836309552486e+001dB,-6.75373062106608e-002°)
2.09425709610180e+001	(-2.15836312396360e+001dB,-6.91104506543772e-002°)
2.14303861047521e+001	(-2.15836315374261e+001dB,-7.07202382315901e-002°)
2.19295639228637e+001	(-2.15836318492507e+001dB,-7.23675224628090e-002°)
2.24403690860393e+001	(-2.15836321757710e+001dB,-7.40531767490385e-002°)
2.29630724299377e+001	(-2.15836325176798e+001dB,-7.57780948348145e-002°)
2.34979510987906e+001	(-2.15836328757022e+001dB,-7.75431912820240e-002°)
2.40452886923483e+001	(-2.15836332505977e+001dB,-7.93494019547580e-002°)
2.46053754162476e+001	(-2.15836336431613e+001dB,-8.11976845154551e-002°)
2.51785082358833e+001	(-2.15836340542260e+001dB,-8.30890189325983e-002°)
2.57649910338627e+001	(-2.15836344846634e+001dB,-8.50244080002335e-002°)
2.63651347711281e+001	(-2.15836349353867e+001dB,-8.70048778695856e-002°)
2.69792576518331e+001	(-2.15836354073519e+001dB,-8.90314785930532e-002°)
2.76076852920577e+001	(-2.15836359015600e+001dB,-9.11052846808696e-002°)
2.82507508924551e+001	(-2.15836364190594e+001dB,-9.32273956707257e-002°)
2.89087954149185e+001	(-2.15836369609477e+001dB,-9.53989367106556e-002°)
2.95821677633641e+001	(-2.15836375283744e+001dB,-9.76210591554934e-002°)
3.02712249687242e+001	(-2.15836381225430e+001dB,-9.98949411772181e-002°)
3.09763323782496e+001	(-2.15836387447138e+001dB,-1.02221788389508e-001°)
3.16978638492223e+001	(-2.15836393962065e+001dB,-1.04602834486836e-001°)
3.24362019471786e+001	(-2.15836400784030e+001dB,-1.07039341898445e-001°)
3.31917381487512e+001	(-2.15836407927504e+001dB,-1.09532602457546e-001°)
3.39648730492349e+001	(-2.15836415407637e+001dB,-1.12083938086097e-001°)
3.47560165749875e+001	(-2.15836423240297e+001dB,-1.14694701495526e-001°)
3.55655882007784e+001	(-2.15836431442098e+001dB,-1.17366276903759e-001°)
3.63940171721997e+001	(-2.15836440030435e+001dB,-1.20100080768946e-001°)
3.72417427332573e+001	(-2.15836449023527e+001dB,-1.22897562540263e-001°)
3.81092143592649e+001	(-2.15836458440448e+001dB,-1.25760205426193e-001°)
3.89968919951609e+001	(-2.15836468301173e+001dB,-1.28689527180684e-001°)
3.99052462993776e+001	(-2.15836478626617e+001dB,-1.31687080907616e-001°)
4.08347588933906e+001	(-2.15836489438681e+001dB,-1.34754455883975e-001°)
4.17859226170808e+001	(-2.15836500760300e+001dB,-1.37893278402207e-001°)
4.27592417900446e+001	(-2.15836512615487e+001dB,-1.41105212632152e-001°)
4.37552324789910e+001	(-2.15836525029388e+001dB,-1.44391961503058e-001°)
4.47744227713668e+001	(-2.15836538028334e+001dB,-1.47755267606107e-001°)
4.58173530553554e+001	(-2.15836551639898e+001dB,-1.51196914117945e-001°)
4.68845763063984e+001	(-2.15836565892951e+001dB,-1.54718725745707e-001°)
4.79766583803898e+001	(-2.15836580817724e+001dB,-1.58322569694025e-001°)
4.90941783137006e+001	(-2.15836596445874e+001dB,-1.62010356654534e-001°)
5.02377286301916e+001	(-2.15836612810551e+001dB,-1.65784041818405e-001°)
5.14079156553772e+001	(-2.15836629946464e+001dB,-1.69645625912425e-001°)
5.26053598379076e+001	(-2.15836647889961e+001dB,-1.73597156259189e-001°)
5.38306960785383e+001	(-2.15836666679100e+001dB,-1.77640727861941e-001°)
5.50845740667633e+001	(-2.15836686353736e+001dB,-1.81778484514658e-001°)
5.63676586252890e+001	(-2.15836706955600e+001dB,-1.86012619937950e-001°)
5.76806300625321e+001	(-2.15836728528389e+001dB,-1.90345378941371e-001°)
5.90241845333277e+001	(-2.15836751117860e+001dB,-1.94779058612765e-001°)
6.03990344080403e+001	(-2.15836774771928e+001dB,-1.99316009535268e-001°)
6.18059086502718e+001	(-2.15836799540764e+001dB,-2.03958637032599e-001°)
6.32455532033675e+001	(-2.15836825476904e+001dB,-2.08709402443314e-001°)
6.47187313859256e+001	(-2.15836852635360e+001dB,-2.13570824424668e-001°)
6.62262242965182e+001	(-2.15836881073737e+001dB,-2.18545480286798e-001°)
6.77688312278404e+001	(-2.15836910852353e+001dB,-2.23636007357910e-001°)
6.93473700905062e+001	(-2.15836942034370e+001dB,-2.28845104381189e-001°)
7.09626778467150e+001	(-2.15836974685927e+001dB,-2.34175532944173e-001°)
7.26156109540202e+001	(-2.15837008876277e+001dB,-2.39630118941343e-001°)
7.43070458194344e+001	(-2.15837044677940e+001dB,-2.45211754070682e-001°)
7.60378792641121e+001	(-2.15837082166852e+001dB,-2.50923397365005e-001°)
7.78090289988560e+001	(-2.15837121422527e+001dB,-2.56768076758853e-001°)
7.96214341106993e+001	(-2.15837162528227e+001dB,-2.62748890691775e-001°)
8.14760555608224e+001	(-2.15837205571138e+001dB,-2.68869009748840e-001°)
8.33738766940670e+001	(-2.15837250642552e+001dB,-2.75131678339229e-001°)
8.53159037603184e+001	(-2.15837297838067e+001dB,-2.81540216413800e-001°)
8.73031664480331e+001	(-2.15837347257783e+001dB,-2.88098021222510e-001°)
8.93367184301925e+001	(-2.15837399006518e+001dB,-2.94808569112618e-001°)
9.14176379229749e+001	(-2.15837453194030e+001dB,-3.01675417368609e-001°)
9.35470282574395e+001	(-2.15837509935248e+001dB,-3.08702206094795e-001°)
9.57260184645275e+001	(-2.15837569350518e+001dB,-3.15892660141580e-001°)
9.79557638736891e+001	(-2.15837631565856e+001dB,-3.23250591076386e-001°)
1.00237446725454e+002	(-2.15837696713217e+001dB,-3.30779899200273e-001°)
1.02572276798273e+002	(-2.15837764930774e+001dB,-3.38484575611287e-001°)
1.04961492049954e+002	(-2.15837836363210e+001dB,-3.46368704315634e-001°)
1.07406359274050e+002	(-2.15837911162027e+001dB,-3.54436464387747e-001°)
1.09908174771525e+002	(-2.15837989485867e+001dB,-3.62692132180383e-001°)
1.12468265038070e+002	(-2.15838071500843e+001dB,-3.71140083585894e-001°)
1.15087987467431e+002	(-2.15838157380900e+001dB,-3.79784796349831e-001°)
1.17768731071118e+002	(-2.15838247308178e+001dB,-3.88630852438092e-001°)
1.20511917214871e+002	(-2.15838341473398e+001dB,-3.97682940458820e-001°)
1.23319000372296e+002	(-2.15838440076269e+001dB,-4.06945858140311e-001°)
1.26191468896038e+002	(-2.15838543325911e+001dB,-4.16424514866201e-001°)
1.29130845806931e+002	(-2.15838651441295e+001dB,-4.26123934269240e-001°)
1.32138689601519e+002	(-2.15838764651712e+001dB,-4.36049256884974e-001°)
1.35216595078396e+002	(-2.15838883197255e+001dB,-4.46205742866713e-001°)
1.38366194183787e+002	(-2.15839007329331e+001dB,-4.56598774763152e-001°)
1.41589156876827e+002	(-2.15839137311190e+001dB,-4.67233860360080e-001°)
1.44887192014998e+002	(-2.15839273418490e+001dB,-4.78116635587620e-001°)
1.48262048260183e+002	(-2.15839415939871e+001dB,-4.89252867494472e-001°)
1.51715515005836e+002	(-2.15839565177577e+001dB,-5.00648457290691e-001°)
1.55249423325738e+002	(-2.15839721448089e+001dB,-5.12309443460510e-001°)
1.58865646944856e+002	(-2.15839885082802e+001dB,-5.24242004946808e-001°)
1.62566103232819e+002	(-2.15840056428719e+001dB,-5.36452464408820e-001°)
1.66352754220534e+002	(-2.15840235849197e+001dB,-5.48947291554728e-001°)
1.70227607640475e+002	(-2.15840423724707e+001dB,-5.61733106550803e-001°)
1.74192717991216e+002	(-2.15840620453645e+001dB,-5.74816683508809e-001°)
1.78250187626749e+002	(-2.15840826453178e+001dB,-5.88204954053416e-001°)
1.82402167871181e+002	(-2.15841042160122e+001dB,-6.01905010971377e-001°)
1.86650860159398e+002	(-2.15841268031873e+001dB,-6.15924111944304e-001°)
1.90998517204287e+002	(-2.15841504547373e+001dB,-6.30269683366873e-001°)
1.95447444191162e+002	(-2.15841752208124e+001dB,-6.44949324252347e-001°)
1.99999999999999e+002	(-2.15842011539254e+001dB,-6.59970810227328e-001°)
